title,description,category
Online Shopping Website,E-commerce platform with cart and payment,Web Development
Portfolio Website,Personal portfolio with projects and contact form,Web Development
Blog Management System,Create and manage blogs with admin panel,Web Development
Student Result Predictor,ML model to predict student performance,Machine Learning
Spam Email Classifier,Detect spam emails using NLP,Machine Learning
Movie Recommendation System,Recommend movies using collaborative filtering,Machine Learning
Smart Home Automation,Control home devices using IoT sensors,IoT
Smart Parking System,Detect parking availability using sensors,IoT
Weather Monitoring System,Real-time weather data collection using IoT,IoT
Secure Voting System,Blockchain-based voting system,Blockchain
Supply Chain Tracking,Track products using blockchain,Blockchain
Digital Identity System,Secure identity verification using blockchain,Blockchain